date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,precipitation_sum,precipitation_hours,wind_speed_10m_max
1990-03-17 18:30:00+00:00,30.595499,17.1455,23.73925,30.615852,18.087748,23.296888,43494.883,0.0,0.0,15.876775
1990-03-18 18:30:00+00:00,31.7455,17.2455,24.099665,30.975197,18.71266,23.710497,43538.82,0.0,0.0,15.7908325
1990-03-19 18:30:00+00:00,32.245502,18.8955,24.735085,33.41568,20.836637,25.750849,43582.824,0.0,0.0,16.263872
1990-03-20 18:30:00+00:00,33.245502,20.6455,25.874666,33.424324,22.649853,26.455832,43626.875,0.0,0.0,14.88242
1990-03-21 18:30:00+00:00,34.0955,20.1955,26.63508,34.14817,21.5599,26.729574,43670.938,0.0,0.0,12.738099
1990-03-22 18:30:00+00:00,33.2955,20.1455,27.197584,34.686302,21.881226,27.889816,43714.99,0.0,0.0,9.007196
1990-03-23 18:30:00+00:00,33.3955,22.6455,28.174667,34.514286,24.76841,28.663927,43758.992,0.0,0.0,10.587918
1990-03-24 18:30:00+00:00,33.445503,20.8955,27.724669,34.455902,20.5997,27.40248,43802.918,0.0,0.0,11.269782
1990-03-25 18:30:00+00:00,33.945503,20.345499,27.69758,34.902622,20.363129,27.212364,43846.746,0.0,0.0,13.441071
1990-03-26 18:30:00+00:00,33.5955,20.2455,27.239244,34.295906,20.168238,26.643625,43890.434,0.0,0.0,9.36
1990-03-27 18:30:00+00:00,33.945503,18.9955,26.82675,35.74811,18.432295,26.298311,43933.96,0.0,0.0,9.255571
1990-03-28 18:30:00+00:00,32.2955,21.9455,27.028831,35.15144,22.664394,28.042137,43977.293,0.0,0.0,12.55879
1990-03-29 18:30:00+00:00,32.8955,21.9455,26.810083,35.907696,23.481531,28.410929,44020.4,1.0,2.0,9.565437
1990-03-30 18:30:00+00:00,31.7455,21.345499,26.876755,34.846085,23.659498,28.178328,44063.25,0.0,0.0,10.495713
1990-03-31 18:30:00+00:00,33.245502,21.1455,27.451752,34.79091,22.600168,28.23773,44105.832,0.0,0.0,10.296251
1990-04-01 18:30:00+00:00,31.5455,22.5455,27.19758,34.448254,23.342861,28.422369,44148.414,0.2,1.0,12.979984
1990-04-02 18:30:00+00:00,34.495502,21.8955,28.153831,35.9797,24.656223,29.396513,44191.094,0.0,0.0,8.534353
1990-04-03 18:30:00+00:00,34.8955,22.0455,28.495499,36.251152,23.452787,28.689842,44233.836,0.0,0.0,9.3669195
1990-04-04 18:30:00+00:00,33.995502,20.595499,26.94758,36.087322,22.801088,28.200783,44276.61,0.0,0.0,17.31746
1990-04-05 18:30:00+00:00,32.0455,20.6455,26.205915,34.677624,22.963709,28.069124,44319.4,1.2,4.0,13.246826
1990-04-06 18:30:00+00:00,32.5955,21.1955,26.508001,33.826996,23.767015,27.652063,44362.16,0.0,0.0,13.661038
1990-04-07 18:30:00+00:00,32.745502,21.7455,26.893415,35.638092,24.555435,28.641867,44404.88,0.0,0.0,12.599999
